Unnamed: 0,Kingdom,Phylum,Class,Order,Family,Genus,Scientific.Name
923,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla
925,Animalia,Chordata,Aves,Gruiformes,Gruidae,Grus,Grus americana
926,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa
927,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes Taurinus
928,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,Phylloscopus trochilus
932,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,Anarrhichthys ocellatus
933,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Gulo,Gulo gulo
934,Animalia,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,Vombatus Ursinus
935,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison athabascae
936,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates sylvaticus
937,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare
938,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,Dysdera crocata
939,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Mammuthus,Mammuthus Primigenius
940,Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,Lagothrix Lagotricha
941,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus Baxteri
942,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Pristella,Pristella maxillaris
944,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos grunniens
946,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Megadyptes,Megadyptes antipodes
947,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus albacares
952,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,"Equus zebra, Equus quagga, Equus grevyi"
953,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Taeniopygia,Taeniopygia guttata
954,Animalia,Mollusca,Bivalvia,Myida,Dreissenidae,Dreissena,Dreissena polymorpha
955,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Hypancistrus,Hypancistrus zebra
956,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Stegostomatidae,Stegostoma,Stegostoma Fasciatum
957,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus indicus
958,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus zebra x Equus asinus
959,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Equus zebra x Equus caballus
